Scholarship Name,Course,Category,Annual Income,Current CGPA / %,Scholarship Type,Link,Deadline
Raitha Vidya Nidhi Scholarship,UG / PG,Farmer / EWS,< 2.5 Lakh,50%+,State Government,https://raitamitra.karnataka.gov.in,Dec-31
Sanchi Honnamma Scholarship,UG / PG,Girls / EWS,< 2.5 Lakh,50%+,State Government,https://dce.karnataka.gov.in,Nov-30
Karnataka Merit Scholarship (DCE),UG,All / EWS,< 8 Lakh,85%+,State Government,https://dce.karnataka.gov.in,Oct-31
Sir C.V. Raman Scholarship,B.Sc,All,< 2.5 Lakh,60%+,State Government,https://dce.karnataka.gov.in,Nov-15
Prathibha Puraskar Scholarship,10th / 12th,SC / ST,< 2.5 Lakh,90%+,State Government,https://ssp.karnataka.gov.in,Jan-15
Karnataka Labour Welfare Scholarship,School / UG,Labour Children / EWS,< 3 Lakh,50%+,State Government,https://klwb.karnataka.gov.in,Dec-31
Karnataka Brahmin Development Board Scholarship,UG / PG,Brahmin / EWS,< 8 Lakh,60%+,State Government,https://ksbdb.karnataka.gov.in,Feb-28
National Overseas Scholarship,PG / PhD,SC / ST / EWS,< 8 Lakh,60%+,Central Government,https://nosmsje.gov.in,Mar-31
Top Class Education Scheme (SC),UG,SC,< 8 Lakh,60%+,Central Government,https://scholarships.gov.in,Oct-31
Top Class Education Scheme (ST),UG,ST,< 6 Lakh,60%+,Central Government,https://scholarships.gov.in,Oct-31
National Fellowship for ST Students,PhD,ST,< 6 Lakh,55%+,Central Government,https://fellowship.tribal.gov.in,Dec-31
Maulana Azad National Fellowship,PhD,Minority / EWS,< 6 Lakh,55%+,Central Government,https://ugc.ac.in,Dec-31
Begum Hazrat Mahal Scholarship,School / UG,Minority Girls,< 2 Lakh,50%+,Central Government,https://scholarships.gov.in,Oct-31
National Means-cum-Merit (Renewal),School,EWS,< 3.5 Lakh,55%+,Central Government,https://scholarships.gov.in,
Kind Circle Scholarship,UG / PG,All / EWS,< 6 Lakh,75%+,Private,https://kindcircle.org,Sep-30
Mahindra All India Talent Scholarship,Diploma,All / EWS,< 2 Lakh,60%+,Private,https://mahindra.com,Jul-31
Glow & Lovely Scholarship,UG / PG,Girls / EWS,< 6 Lakh,60%+,Private,https://www.buddy4study.com,Sep-30
L’Oréal India For Young Women in Science,PG / PhD,Girls,No limit,70%+,Private,https://www.foryoungwomeninscience.com,May-15
Combined Counselling Board Scholarship,UG / PG,All / EWS,< 5 Lakh,50%+,Private,https://ccbnic.in,Sep-15
SKDRDP Sujnana Nidhi Scholarship (Karnataka),UG / PG,Rural / EWS,< 2.5 Lakh,50%+,Trust,https://skdrdpindia.org,Dec-31
Vidyadhan Scholarship (Sarojini Damodaran Foundation),11th / UG,EWS,< 2 Lakh,90%+,Trust,https://www.vidyadhan.org,Jul-31
G.P. Birla Scholarship,UG,All / EWS,< 3 Lakh,85%+,Trust,https://gpbirlaedufoundation.com,Sep-30
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
